mass_g,kingdom,phylum,class,order,family,genus,species
372.9,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Urocitellus,Urocitellus elegans
291.8,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Spermophilus,Spermophilus erythrogenys
524.4,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Poliocitellus,Poliocitellus franklinii
625.0,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Spermophilus,Spermophilus fulvus
210.8,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Callospermophilus,Callospermophilus lateralis
213.8,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Callospermophilus,Callospermophilus madrensis
195.7,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Xerospermophilus,Xerospermophilus mohavensis
172.2,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Urocitellus,Urocitellus mollis
226.4,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Spermophilus,Spermophilus musicus
334.0,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Spermophilus,Spermophilus pallidicauda
767.6,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Urocitellus,Urocitellus parryii
140.0,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Xerospermophilus,Xerospermophilus perotensis
138.9,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Spermophilus,Spermophilus pygmaeus
282.2,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Spermophilus,Spermophilus ralli
561.9,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Spermophilus,Spermophilus relictus
353.6,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Urocitellus,Urocitellus richardsonii
244.9,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Callospermophilus,Callospermophilus saturatus
252.0,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Spermophilus,Spermophilus suslicus
200.7,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Spermophilus,Spermophilus taurensis
