mass_g,kingdom,phylum,class,order,family,genus,species
2228000.0,Animalia,Chordata,Mammalia,Proboscidea,Elephantidae,Elephas,Elephas naumanni
809000.0,Animalia,Chordata,Mammalia,Proboscidea,Elephantidae,Elephas,Elephas tiliensis
85.5,Animalia,Chordata,Amphibia,Anura,Eleutherodactylidae,Eleutherodactylus,Eleutherodactylus coqui
0.85,Animalia,Chordata,Amphibia,Anura,Eleutherodactylidae,Eleutherodactylus,Eleutherodactylus cystignathoides
24.0,Animalia,Chordata,Amphibia,Anura,Eleutherodactylidae,Eleutherodactylus,Eleutherodactylus johnstonei
1.4,Animalia,Chordata,Amphibia,Anura,Eleutherodactylidae,Eleutherodactylus,Eleutherodactylus marnockii
3.0,Animalia,Chordata,Amphibia,Anura,Eleutherodactylidae,Eleutherodactylus,Eleutherodactylus riparius
2.058,Animalia,Chordata,Amphibia,Anura,Eleutherodactylidae,Eleutherodactylus,Eleutherodactylus sp.
0.4,Animalia,Chordata,Amphibia,Anura,Eleutherodactylidae,Eleutherodactylus,Eleutherodactylus zugi
2921.0,Animalia,Chordata,Actinopteri,Perciformes,Polynemidae,Eleutheronema,Eleutheronema rhadinum
104300.0,Animalia,Chordata,Actinopteri,Perciformes,Polynemidae,Eleutheronema,Eleutheronema tetradactylum
13.6,Animalia,Chordata,Squamata,Squamata,Anguidae,Elgaria,Elgaria cedrosensis
36.36,Animalia,Chordata,Squamata,Squamata,Anguidae,Elgaria,Elgaria coerulea
20.6,Animalia,Chordata,Squamata,Squamata,Anguidae,Elgaria,Elgaria kingii
72.63,Animalia,Chordata,Squamata,Squamata,Anguidae,Elgaria,Elgaria multicarinata
67.28,Animalia,Chordata,Squamata,Squamata,Anguidae,Elgaria,Elgaria panamintina
29.52,Animalia,Chordata,Squamata,Squamata,Anguidae,Elgaria,Elgaria paucicarinata
35.01,Animalia,Chordata,Squamata,Squamata,Anguidae,Elgaria,Elgaria velazquezi
18.0,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Eligmodontia,Eligmodontia moreni
16.5,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Eligmodontia,Eligmodontia morgani
26.85,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Eligmodontia,Eligmodontia puerulus
17.69,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Eligmodontia,Eligmodontia typus
