Cynisca feae
Cynisca gansi
Cynisca haugi
Cynisca ivoirensis
Cynisca kigomensis
Cynisca kraussi
Cynisca leonina
Cynisca liberiensis
Cynisca manei
Cynisca muelleri
Cynisca nigeriensis
Cynisca oligopholis
Cynisca rouxae
Cynisca schaeferi
Cynisca senegalensis
Cynisca williamsi
Cyrtodactylus aaroni
Cyrtodactylus adleri
Cyrtodactylus agamensis
Cyrtodactylus angularis
Cyrtodactylus aurensis
Cyrtodactylus batik
Cyrtodactylus buchardi
Cyrtodactylus capreoloides
Cyrtodactylus celatus
Cyrtodactylus chrysopylos
Cyrtodactylus condorensis
Cyrtodactylus consobrinoides
Cyrtodactylus consobrinus
Cyrtodactylus cracens
Cyrtodactylus cryptus
Cyrtodactylus derongo
Cyrtodactylus deveti
Cyrtodactylus doisuthep
Cyrtodactylus edwardtaylori
Cyrtodactylus eisenmanae
Cyrtodactylus fumosus
Cyrtodactylus gordongekkoi
Cyrtodactylus halmahericus
Cyrtodactylus hidupselamanya
Cyrtodactylus hikidai
Cyrtodactylus hitchi
Cyrtodactylus ingeri
Cyrtodactylus intermedius
Cyrtodactylus irianjayaensis
Cyrtodactylus khammouanensis
Cyrtodactylus khelangensis
Cyrtodactylus kingsadai
Cyrtodactylus klakahensis
Cyrtodactylus klugei
Cyrtodactylus kunyai
Cyrtodactylus lenggongensis
Cyrtodactylus linnoensis
Cyrtodactylus malcolmsmithi
Cyrtodactylus mandalayensis
Cyrtodactylus markuscombaii
Cyrtodactylus marmoratus
Cyrtodactylus martini
Cyrtodactylus mimikanus
Cyrtodactylus minor
Cyrtodactylus multiporus
Cyrtodactylus murua
Cyrtodactylus nuaulu
Cyrtodactylus oldhami
Cyrtodactylus pageli
Cyrtodactylus papilionoides
Cyrtodactylus payarhtanensis
Cyrtodactylus phetchaburiensis
Cyrtodactylus psarops
Cyrtodactylus puhuensis
Cyrtodactylus quadrivirgatus
Cyrtodactylus ranongensis
Cyrtodactylus roesleri
Cyrtodactylus samroiyot
Cyrtodactylus sanook
Cyrtodactylus semenanjungensis
Cyrtodactylus stresemanni
Cyrtodactylus sumonthai
Cyrtodactylus surin
Cyrtodactylus tahuna
Cyrtodactylus tamaiensis
Cyrtodactylus tambora
Cyrtodactylus thuongae
Cyrtodactylus tibetanus
Cyrtodactylus tigroides
Cyrtodactylus variegatus
Cyrtodactylus vilaphongi
Cyrtodactylus wakeorum
Cyrtodactylus wallacei
Cyrtodactylus wangkulangkulae
Cyrtodactylus wayakonei
Cyrtodactylus welpyanensis
Cyrtodactylus yakhuna
Cyrtopodion baigii
Cyrtopodion belaense
Cyrtopodion golubevi
Cyrtopodion hormozganum
Cyrtopodion kiabii
Daboia russelii
Dalmatolacerta oxycephala
Dalophia angolensis
Dalophia ellenbergeri
Dalophia gigantea
Dalophia luluae
Damaliscus hypsodon
Darevskia daghestanica
Dasia griffini
Dasia nicobarensis
Dasia semicincta
Dasypeltis inornata
Delma australis
Delma plebeia
Delma tincta
Demansia calodera
Demansia olivacea
Dendragama dioidema
Dendrelaphis ashoki
Dendrelaphis flavescens
Dendrelaphis girii
Dendrelaphis grandoculis
Dendrelaphis grismeri
Dendrelaphis haasi
Dendrelaphis hollinrakei
Dendrelaphis humayuni
Dendrelaphis inornatus
Dendrelaphis kopsteini
Dendrelaphis levitoni
Dendrelaphis lorentzi
Dendrelaphis luzonensis
Dendrelaphis marenae
Dendrelaphis modestus
Dendrelaphis nigroserratus
Dendrelaphis oliveri
Dendrelaphis papuensis
Dendrelaphis philippinensis
Dendrelaphis salomonis
Dendrelaphis terrificus
Dendrelaphis underwoodi
Dendroica aestiva
Dendrolagus noibano
Dendrolagus sp
Dendrolycus elapoides
Dendrophidion apharocybe
Dendrophidion atlantica
Dendrophidion boshelli
Dendrophidion clarkii
Dendrophidion crybelum
Dendrophidion dendrophis
Dendrophidion paucicarinatum
Dendrophidion prolixum
Dendrophidion rufiterminorum
Dendrophidion vinitor
Denisonia maculata
Desmodus puntajudensis
Dibamus alfredi
Dibamus booliati
Dibamus dezwaani
Dibamus floweri
Dibamus greeri
Dibamus ingeri
Dibamus kondaoensis
Dibamus leucurus
Dibamus montanus
Dibamus nicobaricum
Dibamus novaeguineae
Dibamus smithi
Dibamus somsaki
Dibamus taylori
Dibamus tebal
Dibamus vorisi
Dicolpomys spp.
Dicroceros spA
Dierogekko nehoueensis
Diplodactylus barraganae
Diplodactylus calcicolus
Diplodactylus furcosus
Diplodactylus galeatus
Diplodactylus hillii
Diplodactylus kenneallyi
Diplodactylus klugei
Diplodactylus laevis
Diplodactylus lateroides
Diplodactylus ornatus
Diplodactylus platyurus
Diplodactylus polyophthalmus
Diplodactylus pulcher
Diplodactylus savagei
Diplodactylus wiru
Diploderma flaviceps
Diploglossus atitlanensis
Diploglossus bilobatus
Diploglossus fasciatus
Diploglossus ingridae
Diploglossus lessonae
Diploglossus microcephalus
Diploglossus microlepis
Diploglossus millepunctatus
Diploglossus monotropis
Diploglossus montisilvestris
Diploglossus montisserrati
Diploglossus nigropunctatus
Diploglossus owenii
Diplolaemus leopardinus
Dipogon sp
Diporiphora adductus
Diporiphora albilabris
Diporiphora ameliae
Diporiphora bennettii
Diporiphora convergens
Diporiphora linga
Diporiphora nobbi
Diporiphora paraconvergens
Diporiphora vescus
Dipsadoboa viridis
Dipsas alternans
Dipsas baliomelas
Dipsas chaparensis
Dipsas copei
Dipsas elegans
Dipsas incerta
Dipsas maxillaris
Dipsas praeornata
Dipsas sanctijoannis
Dipsas sazimai
Dipsas schunkii
Dipsas temporalis
Dipsas tenuissima
Dipsas trinitatis
Dipsas variegata
Dipsas vermiculata
Dipsosaurus catalinensis
Dixella sp
Dixiphia chloromeros
Dixiphia erythrocephala
Dixiphia mentalis
Dixiphia rubrocapilla
Dopasia ludovici
Dopasia wegneri
Draco abbreviatus
Draco jareckii
Draco norvillii
Drepanocladusex annulatus
Dryadosaura nordestina
Drymarchon caudomaculatus
Drymarchon couperi
Drymarchon margaritae
Drymobius chloroticus
Drymobius melanotropis
Drymoluber apurimacensis
Drymoluber brazili
Dryocalamus gracilis
Dryocalamus philippinus
Echinanthera cephalomaculata
Echinosaura orcesi
Echinosaura sulcarostrum
Echis hughesi
Egernia depressa
Egernia douglasi
Egernia eos
Egernia pilbarensis
Eirenis africana
Eirenis coronella
Eirenis kermanensis
Eirenis lineomaculatus
Eirenis rechingeri
Elaphe guttata
Elapognathus minor
Elapomorphus spegazzinii
