mass_g,kingdom,phylum,class,order,family,genus,species
8.621,Animalia,Chordata,Squamata,Squamata,Liolaemidae,Liolaemus,Liolaemus torresi
18.09,Animalia,Chordata,Squamata,Squamata,Liolaemidae,Liolaemus,Liolaemus tromen
10.91,Animalia,Chordata,Squamata,Squamata,Liolaemidae,Liolaemus,Liolaemus tulkas
23.38,Animalia,Chordata,Squamata,Squamata,Liolaemidae,Liolaemus,Liolaemus ubaghsi
22.88,Animalia,Chordata,Squamata,Squamata,Liolaemidae,Liolaemus,Liolaemus umbrifer
22.95,Animalia,Chordata,Squamata,Squamata,Liolaemidae,Liolaemus,Liolaemus uniformis
21.31,Animalia,Chordata,Squamata,Squamata,Liolaemidae,Liolaemus,Liolaemus uptoni
8.621,Animalia,Chordata,Squamata,Squamata,Liolaemidae,Liolaemus,Liolaemus uspallatensis
27.99,Animalia,Chordata,Squamata,Squamata,Liolaemidae,Liolaemus,Liolaemus valdesianus
14.71,Animalia,Chordata,Squamata,Squamata,Liolaemidae,Liolaemus,Liolaemus vallecurensis
6.418,Animalia,Chordata,Squamata,Squamata,Liolaemidae,Liolaemus,Liolaemus velosoi
16.44,Animalia,Chordata,Squamata,Squamata,Liolaemidae,Liolaemus,Liolaemus villaricensis
30.02,Animalia,Chordata,Squamata,Squamata,Liolaemidae,Liolaemus,Liolaemus vulcanus
8.398,Animalia,Chordata,Squamata,Squamata,Liolaemidae,Liolaemus,Liolaemus walkeri
7.222,Animalia,Chordata,Squamata,Squamata,Liolaemidae,Liolaemus,Liolaemus wari
9.08,Animalia,Chordata,Squamata,Squamata,Liolaemidae,Liolaemus,Liolaemus wiegmannii
14.6,Animalia,Chordata,Squamata,Squamata,Liolaemidae,Liolaemus,Liolaemus williamsi
34.02,Animalia,Chordata,Squamata,Squamata,Liolaemidae,Liolaemus,Liolaemus xanthoviridis
6.606,Animalia,Chordata,Squamata,Squamata,Liolaemidae,Liolaemus,Liolaemus yalguaraz
7.222,Animalia,Chordata,Squamata,Squamata,Liolaemidae,Liolaemus,Liolaemus yanalcu
7.118,Animalia,Chordata,Squamata,Squamata,Liolaemidae,Liolaemus,Liolaemus yatel
25.32,Animalia,Chordata,Squamata,Squamata,Liolaemidae,Liolaemus,Liolaemus zabalai
44.09,Animalia,Chordata,Squamata,Squamata,Liolaemidae,Liolaemus,Liolaemus zapallarensis
22.71,Animalia,Chordata,Squamata,Squamata,Liolaemidae,Liolaemus,Liolaemus zullyae
41.08,Animalia,Chordata,Mammalia,Rodentia,Heteromyidae,Liomys,Liomys adspersus
52.5,Animalia,Chordata,Mammalia,Rodentia,Heteromyidae,Liomys,Liomys irroratus
41.0,Animalia,Chordata,Mammalia,Rodentia,Heteromyidae,Liomys,Liomys pictus
43.73,Animalia,Chordata,Mammalia,Rodentia,Heteromyidae,Liomys,Liomys salvini
65.0,Animalia,Chordata,Mammalia,Rodentia,Heteromyidae,Liomys,Liomys spectabilis
8.392,Animalia,Chordata,Mammalia,Chiroptera,Phyllostomidae,Lionycteris,Lionycteris spurrelli
58.4,Animalia,Chordata,Squamata,Squamata,Colubridae,Liopeltis,Liopeltis frenata
36.0,Animalia,Chordata,Squamata,Squamata,Colubridae,Liopeltis,Liopeltis philippina
15.0,Animalia,Chordata,Squamata,Coleoptera,Colubridae,Liopeltis,Liopeltis rappi
32.0,Animalia,Chordata,Squamata,Squamata,Colubridae,Liopeltis,Liopeltis stoliczkae
26.9,Animalia,Chordata,Squamata,Squamata,Colubridae,Liopeltis,Liopeltis tricolor
2.6,Animalia,Chordata,Squamata,Squamata,Pseudoxyrhophiidae,Liophidium,Liophidium apperti
20.1,Animalia,Chordata,Squamata,Squamata,Pseudoxyrhophiidae,Liophidium,Liophidium chabaudi
3.2,Animalia,Chordata,Squamata,Squamata,Pseudoxyrhophiidae,Liophidium,Liophidium maintikibo
141.2,Animalia,Chordata,Squamata,Squamata,Pseudoxyrhophiidae,Liophidium,Liophidium mayottensis
12.7,Animalia,Chordata,Squamata,Squamata,Pseudoxyrhophiidae,Liophidium,Liophidium pattoni
35.6,Animalia,Chordata,Squamata,Squamata,Pseudoxyrhophiidae,Liophidium,Liophidium rhodogaster
60.9,Animalia,Chordata,Squamata,Squamata,Pseudoxyrhophiidae,Liophidium,Liophidium therezieni
55.0,Animalia,Chordata,Squamata,Squamata,Pseudoxyrhophiidae,Liophidium,Liophidium torquatum
6.6,Animalia,Chordata,Squamata,Squamata,Pseudoxyrhophiidae,Liophidium,Liophidium trilineatum
39.0,Animalia,Chordata,Squamata,Squamata,Pseudoxyrhophiidae,Liophidium,Liophidium vaillanti
182.9,Animalia,Chordata,Squamata,Squamata,Pseudoxyrhophiidae,Liopholidophis,Liopholidophis dimorphus
409.0,Animalia,Chordata,Squamata,Squamata,Pseudoxyrhophiidae,Liopholidophis,Liopholidophis dolicocercus
602.7,Animalia,Chordata,Squamata,Squamata,Pseudoxyrhophiidae,Liopholidophis,Liopholidophis grandidieri
66.5,Animalia,Chordata,Squamata,Squamata,Pseudoxyrhophiidae,Liopholidophis,Liopholidophis rhadinaea
376.7,Animalia,Chordata,Squamata,Squamata,Pseudoxyrhophiidae,Liopholidophis,Liopholidophis sexlineatus
107.9,Animalia,Chordata,Squamata,Squamata,Pseudoxyrhophiidae,Liopholidophis,Liopholidophis varius
30.18,Animalia,Chordata,Squamata,Squamata,Scincidae,Liopholis,Liopholis guthega
12.72,Animalia,Chordata,Squamata,Squamata,Scincidae,Liopholis,Liopholis inornata
211.9,Animalia,Chordata,Squamata,Squamata,Scincidae,Liopholis,Liopholis kintorei
31.02,Animalia,Chordata,Squamata,Squamata,Scincidae,Liopholis,Liopholis modesta
30.18,Animalia,Chordata,Squamata,Squamata,Scincidae,Liopholis,Liopholis montana
18.88,Animalia,Chordata,Squamata,Squamata,Scincidae,Liopholis,Liopholis multiscutata
26.78,Animalia,Chordata,Squamata,Squamata,Scincidae,Liopholis,Liopholis personata
19.51,Animalia,Chordata,Squamata,Squamata,Scincidae,Liopholis,Liopholis slateri
33.37,Animalia,Chordata,Squamata,Squamata,Scincidae,Liopholis,Liopholis striata
31.92,Animalia,Chordata,Squamata,Squamata,Scincidae,Liopholis,Liopholis whitii
25.0,Animalia,Chordata,Actinopteri,Pleuronectiformes,Pleuronectidae,Liopsetta,Liopsetta glacialis
29.64,Animalia,Chordata,Aves,Passeriformes,Sylviidae,Lioptilus,Lioptilus nigricapillus
4.4,Animalia,Chordata,Squamata,Squamata,Scincidae,Epibator,Epibator greeri
4.4,Animalia,Chordata,Squamata,Squamata,Scincidae,Phasmasaurus,Phasmasaurus maruia
31.0,Animalia,Chordata,Squamata,Squamata,Scincidae,Epibator,Epibator nigrofasciolatus
6.2,Animalia,Chordata,Squamata,Squamata,Scincidae,Caesoris,Caesoris novaecaledoniae
31.92,Animalia,Chordata,Squamata,Squamata,Scincidae,Lioscincus,Lioscincus steindachneri
5.1,Animalia,Chordata,Squamata,Squamata,Scincidae,Phasmasaurus,Phasmasaurus tillieri
0.085,Animalia,Brachiopoda,Rhynchonellata,Terebratulida,Terebratulidae,Liothyrella,Liothyrella uva
4.1,Animalia,Chordata,Squamata,Squamata,Anomalepididae,Liotyphlops,Liotyphlops albirostris
23.5,Animalia,Chordata,Squamata,Squamata,Anomalepididae,Liotyphlops,Liotyphlops anops
21.0,Animalia,Chordata,Squamata,Squamata,Anomalepididae,Liotyphlops,Liotyphlops beui
2.1,Animalia,Chordata,Squamata,Squamata,Anomalepididae,Liotyphlops,Liotyphlops haadi
5.4,Animalia,Chordata,Squamata,Squamata,Anomalepididae,Liotyphlops,Liotyphlops schubarti
18.4,Animalia,Chordata,Squamata,Squamata,Anomalepididae,Liotyphlops,Liotyphlops ternetzii
22.4,Animalia,Chordata,Squamata,Squamata,Anomalepididae,Liotyphlops,Liotyphlops trefauti
9.1,Animalia,Chordata,Squamata,Squamata,Anomalepididae,Liotyphlops,Liotyphlops wilderi
0.0001241,Animalia,Arthropoda,Insecta,Hemiptera,Aphididae,Lipaphis,Lipaphis erysimi
30.5,Animalia,Chordata,Actinopteri,Scorpaeniformes,Liparidae,Liparis,Liparis bathyarcticus
5.0,Animalia,Chordata,Actinopteri,Scorpaeniformes,Liparidae,Liparis,Liparis callyodon
1.6,Animalia,Chordata,Actinopteri,Scorpaeniformes,Liparidae,Liparis,Liparis cyclopus
21.2,Animalia,Chordata,Actinopteri,Scorpaeniformes,Liparidae,Liparis,Liparis dennyi
129.6,Animalia,Chordata,Actinopteri,Scorpaeniformes,Liparidae,Liparis,Liparis fabricii
17.9,Animalia,Chordata,Actinopteri,Scorpaeniformes,Liparidae,Liparis,Liparis florae
25.3,Animalia,Chordata,Actinopteri,Scorpaeniformes,Liparidae,Liparis,Liparis fucensis
27.7,Animalia,Chordata,Actinopteri,Scorpaeniformes,Liparidae,Liparis,Liparis gibbus
50.4,Animalia,Chordata,Actinopteri,Scorpaeniformes,Liparidae,Liparis,Liparis liparis
2.4,Animalia,Chordata,Teleostei,Scorpaeniformes,Liparidae,Liparis,Liparis micraspidophorus
52.19,Animalia,Chordata,Actinopteri,Scorpaeniformes,Liparidae,Liparis,Liparis montagui
8.1,Animalia,Chordata,Actinopteri,Scorpaeniformes,Liparidae,Liparis,Liparis mucosus
4566.0,Animalia,Chordata,Actinopteri,Scorpaeniformes,Liparidae,Liparis,Liparis ochotensis
7.7,Animalia,Chordata,Actinopteri,Scorpaeniformes,Liparidae,Liparis,Liparis pulchellus
10.3,Animalia,Chordata,Actinopteri,Scorpaeniformes,Liparidae,Liparis,Liparis rutteri
1068.0,Animalia,Chordata,Actinopteri,Scorpaeniformes,Liparidae,Liparis,Liparis tanakae
169.3,Animalia,Chordata,Actinopteri,Scorpaeniformes,Liparidae,Liparis,Liparis tessellatus
138.0,Animalia,Chordata,Aves,Passeriformes,Cotingidae,Lipaugus,Lipaugus fuscocinereus
57.2,Animalia,Chordata,Aves,Passeriformes,Cotingidae,Lipaugus,Lipaugus streptophorus
